year,month,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
2013,3,101,125,82,93,2000,2,-2.4,1021.3,-11.7,0,SSW,0.6
2013,3,108,127,70,92,2100,2,-2.3,1020.3,-12.1,0,N,0.1
2013,3,101,108,56,92,2100,2,-0.6,1019.4,-14.2,0,NE,1.3
2013,3,77,93,62,94,2299,2,-0.1,1018.7,-14.5,0,NNE,1.4
2013,3,97,109,68,92,2600,2,-2.8,1017.3,-13.4,0,W,0.6
2013,3,107,120,75,89,2700,2,-4.4,1016.6,-11.7,0,SSW,0.4
2013,3,107,118,76,89,2799,2,-5.1,1015.9,-11.5,0,WSW,0.7
2013,3,104,109,65,86,2000,2,-5.3,1015.7,-11.2,0,WSW,1
2013,3,87,94,60,86,2000,2,-5.8,1015.6,-11.1,0,W,1
2013,3,86,95,69,86,2000,2,-3.2,1015.8,-10.3,0,NNW,0.6
2013,3,84,101,73,86,2399,2,1.7,1015.1,-12.5,0,ESE,0.6
2013,3,88,119,83,91,2799,2,3.8,1015,-12.6,0,N,0.5
2013,3,91,127,84,95,2600,2,7.2,1014.1,-12.1,0,SSW,0.8
2013,3,93,129,88,102,2600,4,11.1,1012.8,-11.7,0,SSW,2.3
2013,3,101,143,79,115,3000,6,12.7,1011.9,-12.5,0,S,1.9
2013,3,110,152,54,92,2000,18,13.7,1010.6,-11.7,0,S,2.3
2013,3,92,143,52,86,1800,35,14.7,1010.2,-12.6,0,SW,2.3
2013,3,114,169,43,58,1300,55,15,1009.6,-12.3,0,WSW,2.8
2013,3,95,146,29,46,1000,60,13.6,1009.8,-9.6,0,WSW,3.2
2013,3,77,130,36,57,1000,50,11.6,1010.4,-8.9,0,WSW,1.5
2013,3,84,159,65,102,1600,16,8.6,1011.4,-8,0,WNW,1.3
2013,3,123,225,66,116,1800,2,9.6,1012.4,-12.3,0,WNW,2.9
2013,3,150,242,69,120,2200,2,12.1,1012.6,-13,0,W,0.8
2013,3,147,191,23,80,1100,2,5.1,1012.8,-12.4,0,N,0.2
2013,3,62,68,14,73,800,2,3.5,1012.9,-10.9,0,WSW,1
2013,3,27,41,20,89,1600,2,9.6,1013.8,-11.7,0,NE,1.9
2013,3,33,46,21,85,2000,2,9.6,1014.8,-11.7,0,NNE,2.6
2013,3,31,36,31,73,1200,2,8.8,1015.6,-11.8,0,NE,2.1
2013,3,23,31,10,25,500,44,7.8,1016.1,-11.6,0,NE,2.1
2013,3,10,27,5,17,400,56,7.6,1015.9,-11.7,0,NNE,2.8
2013,3,8,16,12,32,500,37,4.8,1016.8,-12.2,0,NE,0.4
2013,3,9,22,15,23,400,44,1.9,1017.4,-11.6,0,E,1
2013,3,4,24,18,32,600,33,1,1018.1,-10.5,0,NW,0
2013,3,8,22,22,53,900,11,6.6,1019,-11.1,0,SW,0.8
2013,3,9,28,32,61,1100,8,9,1019.8,-11.1,0,NE,2
2013,3,12,29,22,37,600,36,10.7,1019.8,-12.7,0,ENE,2.5
2013,3,11,13,15,25,500,51,11.6,1019.7,-12.7,0,NNE,2.5
2013,3,12,14,11,19,400,60,13.1,1019,-13,0,NE,1.4
2013,3,15,16,12,19,400,63,14.3,1018.1,-12.9,0,SE,0.8
2013,3,13,16,11,18,400,67,14.5,1017,-13.7,0,E,1.3
2013,3,8,13,9,20,400,69,15.8,1016.1,-12.6,0,SW,2.5
2013,3,10,15,11,25,400,67,15.1,1015.4,-14.2,0,S,2
2013,3,12,18,10,28,400,75,14.6,1015,-13.6,0,SSW,2.3
2013,3,23,26,8,28,500,87,12.8,1015.2,-11.7,0,WSW,2.9
2013,3,29,38,13,43,500,63,11.2,1015.7,-11.6,0,WSW,2.3
2013,3,32,66,16,65,700,32,9.5,1015.9,-10.6,0,SSW,1.5
2013,3,40,92,25,78,1100,14,7.8,1016.1,-10.6,0,WSW,0.6
2013,3,56,104,38,88,1399,4,6.9,1016.3,-10.4,0,S,2.2
2013,3,71,111,35,83,1399,7,6.6,1016,-10.2,0,S,1.3
2013,3,76,105,52,71,1399,87,4.9,1015,-9.7,0,W,1.2
2013,3,82,106,86,63,1300,87,5,1014.6,-8.9,0,SW,0.7
2013,3,93,124,82,58,1300,87,3.7,1013.9,-8.4,0,SSE,2.7
2013,3,107,138,NA,56,1399,87,2.3,1013.5,-7.9,0,W,0.9
2013,3,114,130,4,59,NA,87,-0.4,1013,-7.7,0,WSW,1.1
2013,3,125,137,5,NA,1800,87,-1.1,1012.9,-8.1,0,W,0.9
2013,3,138,149,59,74,2200,87,-1.9,1012.9,-7.8,0,ESE,0
2013,3,132,145,63,79,2399,87,-0.1,1012.6,-9,0,NNE,0.6
2013,3,129,137,67,82,2799,87,2.4,1012.5,-7.5,0,ENE,0
2013,3,118,136,80,90,3399,87,7.2,1012.3,-8.8,0,ENE,1
2013,3,117,150,117,97,3100,87,9,1011.7,-8.6,0,ENE,1.9
2013,3,126,172,90,108,3000,87,10.3,1011,-8.9,0,NNE,1.7
2013,3,133,180,83,108,2600,87,11.4,1010.2,-9,0,E,0.8
2013,3,138,169,73,101,2000,25,13.2,1008.6,-8.7,0,SW,0.8
2013,3,134,157,72,116,2100,87,14.7,1007.4,-8.1,0,SSW,1.3
2013,3,142,161,79,140,2399,87,15.4,1006.5,-7.5,0,ENE,1
2013,3,168,187,102,132,2200,87,15.9,1006.2,-7.1,0,SSW,0.9
2013,3,193,217,100,95,1700,87,14.9,1006,-6.7,0,SSE,0.9
2013,3,184,208,104,75,1500,78,11.3,1006.5,-5.7,0,NNW,0.7
2013,3,180,194,104,82,1500,78,11.3,1007,-5.7,0,E,0.7
2013,3,185,206,88,146,2200,78,6.8,1007.6,-5.9,0,ESE,0
2013,3,198,230,85,145,2299,78,5.7,1007.9,-5.6,0,WSW,0.6
2013,3,202,234,88,145,3100,78,4.6,1007.9,-5.5,0,WSW,0.6
2013,3,216,233,96,142,2700,78,4.4,1007.9,-5.4,0,NNE,0.9
2013,3,214,220,100,154,3399,78,7.9,1007.5,-6.6,0,ENE,0.5
2013,3,220,232,110,148,3100,78,4.8,1007.5,-6.2,0,WNW,0.4
2013,3,229,232,99,136,2799,78,2.5,1007.3,-5.6,0,SW,0.4
2013,3,220,226,102,138,3000,78,2.3,1007,-5.4,0,NNW,0.9
2013,3,159,208,82,129,2600,78,3.6,1006.9,-5.6,0,WSW,1
2013,3,149,187,77,131,2799,78,4.7,1006.7,-6,0,ENE,0.5
2013,3,186,187,75,131,2799,78,4.9,1006.8,-5.5,0,ESE,1.2
2013,3,187,188,79,137,3000,78,5.3,1007.5,-5.7,0,WNW,1.5
2013,3,186,200,86,128,2700,78,6.7,1008.2,-5.6,0,WNW,0.7
2013,3,193,207,102,117,2799,78,7.6,1008.2,-4.8,0,WNW,1
2013,3,194,215,88,100,2299,78,8.7,1008.1,-5.6,0,NNW,1
2013,3,181,202,87,101,2600,78,9.6,1007.8,-5.1,0,NE,1.3
2013,3,177,199,105,106,3000,78,11.4,1006.7,-4.3,0,ESE,0.4
2013,3,187,207,107,104,2600,78,12.2,1006,-4.5,0,WSW,0.8
2013,3,192,218,116,112,2700,78,13.4,1005.3,-4.3,0,WNW,0.6
2013,3,209,231,128,116,2799,78,14.6,1004.6,-4.2,0,S,1.6
2013,3,226,244,138,122,3200,78,14.5,1004.6,-4.3,0,SW,1.8
2013,3,224,253,144,130,3299,78,13.8,1004.5,-4,0,SSW,1.1
2013,3,225,260,146,129,3299,67,12,1005.2,-3.8,0,SW,1
2013,3,227,270,138,131,3200,8,8.6,1006.2,-3.6,0,WNW,0
2013,3,228,278,125,134,3500,8,6,1006.8,-3.7,0,N,0
2013,3,236,282,114,135,3700,8,4.7,1007.6,-3.3,0,WSW,0
2013,3,247,293,110,134,4400,8,5,1007.1,-3.1,0,WSW,1
2013,3,253,285,118,131,4700,8,6.8,1006.8,-2.9,0,W,0.8
2013,3,254,280,134,130,4799,8,5.4,1006.9,-2.9,0,WSW,0.9
2013,3,258,292,123,129,5299,8,5.2,1006.6,-2.9,0,W,2.4
2013,3,270,316,103,124,5200,8,3.3,1006.5,-3.1,0,SE,1.1
2013,3,280,317,100,118,4500,8,2.2,1006,-3.1,0,WNW,0.8
2013,3,264,285,98,110,4099,8,1,1005.7,-3.5,0,WNW,1.1
2013,3,249,263,78,107,4799,8,0,1005.7,-3.6,0,WNW,1
2013,3,243,257,69,105,4799,8,-0.4,1005.7,-3.1,0,NE,0.2
2013,3,243,256,61,104,5700,8,-0.3,1005.7,-2.7,0,W,0.9
2013,3,240,259,60,106,5799,8,3.6,1006,-0.6,0,W,0.6
2013,3,249,275,81,121,6700,8,9.4,1005.7,-0.8,0,N,0.1
2013,3,262,306,137,158,6000,8,10.1,1005.2,-1,0,WSW,0.9
2013,3,292,349,120,206,7599,8,12.8,1004.4,-0.8,0,WNW,1
2013,3,327,407,130,241,8599,8,15.6,1002.7,-2.4,0,SE,1.6
2013,3,389,454,150,221,6099,8,16.1,1000.7,-2.4,0,SSW,2.2
2013,3,366,400,137,167,3799,25,17.2,999.3,-2.5,0,SW,2.1
2013,3,294,336,99,110,3200,62,18.8,997.9,-2.8,0,SSW,2.4
2013,3,338,338,78,94,2600,70,18.4,996.7,-1.5,0,SSW,2.1
2013,3,190,274,56,59,1600,94,18.2,996.1,-1.1,0,SSW,0.8
2013,3,159,202,70,81,1700,94,15.1,995.8,-1.1,0,WSW,1
2013,3,208,226,73,117,1700,94,10.9,996.4,-0.6,0,WNW,0.9
2013,3,197,212,62,136,1500,2,10.5,996.8,-0.6,0,NNE,1.3
2013,3,153,190,66,147,2200,94,12.9,996.9,-2.6,0,NNE,0
2013,3,193,251,92,184,3500,94,11,996.8,-1.4,0,WNW,0.6
2013,3,304,380,103,191,4599,94,8.1,997.1,-1.4,0,NE,1.3
2013,3,400,468,98,182,4500,94,8.8,997.2,-1.1,0,E,1.2
2013,3,410,454,106,178,4500,94,5,997.3,-1.9,0,W,1
2013,3,421,431,74,172,4700,94,4.9,997.5,-1.8,0,NE,0.4
2013,3,379,431,74,164,4700,94,6.1,997.4,-1.8,0,NNE,0.6
2013,3,316,375,94,157,4200,94,3.9,997.3,-2.1,0,NW,0.7
2013,3,282,312,65,148,4700,94,3.4,997.6,-2,0,ENE,1.3
2013,3,287,319,52,158,6000,94,3,998.3,-2.1,0,E,0.8
2013,3,289,333,49,162,7000,94,2.9,998.9,-1.8,0,SSW,0.4
2013,3,338,342,48,164,7500,94,7.2,999.5,-0.3,0,ESE,1.1
2013,3,330,352,66,165,7400,94,12.3,999.9,-0.3,0,E,0.2
2013,3,340,377,118,198,8300,94,16.2,1000.2,-1,0,W,0.9
2013,3,360,398,115.668,220.9028,NA,94,18.7,999.9,-1.2,0,SW,1.1
2013,3,284,198,79,187,4700,94,21.1,999.6,-3.5,0,SSW,3.3
2013,3,174,166,48,119,2299,94,22.2,998.4,-3.3,0,S,2.7
2013,3,156,174,41,72,1399,94,22.9,997.4,-3.5,0,SW,2.7
2013,3,138,304,47,61,1300,94,16.7,997.5,1.1,0,E,4.6
2013,3,264,460,92,106,2700,94,13.5,998.2,0.5,0,E,3.8
2013,3,181,253,71,75,1300,86,11.5,999,-0.7,0,SE,1.6
2013,3,115,132,49,56,600,86,9.7,999,-1.1,0,E,3.2
2013,3,56,69,38,46,600,86,8.7,999.6,-1.7,0,E,0.8
2013,3,43,72,35,49,900,86,8.6,999.6,-0.7,0,E,2.2
2013,3,55,72,37,54,1100,86,7.5,999.2,-2.3,0,E,0.6
2013,3,49,52,33,42,1100,86,7.4,998.9,-2.1,0,E,1.7
2013,3,50,60,38,68,1600,86,6.7,998.1,-3.6,0,E,2.5
2013,3,45,54,52,55,1700,86,5.9,996.7,-4.6,0,ESE,2
2013,3,45,48,54,56,2000,86,3.9,995.4,-4.1,0,SSE,0.2
2013,3,55,72,61,61,2299,86,3.4,994.3,-3.9,0,W,1.3
2013,3,61,75,NA,60,2299,86,2.4,993.1,-3.7,0,WNW,1.5
2013,3,68,81,5,79,NA,86,1.6,992,-3.5,0,W,1
2013,3,70,80,5,NA,2500,86,1,991.1,-3.7,0,W,0.8
2013,3,73,88,48,75,2700,86,1.1,991.2,-3.2,0,NW,0.4
2013,3,77,99,74,76,2700,86,3.8,991.3,-3.3,0,NNW,0.2
2013,3,102,109,80,89,2299,86,5.5,991.7,-2.6,0,ENE,1.7
2013,3,103,138,87,83,2100,86,9.7,992.8,-2.3,0,E,2.6
2013,3,112,140,92,79,2000,86,18,995.2,-0.8,0,WNW,9.9
2013,3,141,375,98,70,1700,86,15.7,997.1,-5.4,0,WNW,13.2
2013,3,104,589,53,36,900,86,13.8,1000.5,-10.2,0,W,5.3
2013,3,69,902,10,11,300,86,12,1003.2,-13.9,0,WNW,6.2
2013,3,72,961,4,9,200,86,10.5,1005.8,-16.8,0,NW,3.7
2013,3,68,890,3,7,200,81,10.5,1006.7,-17.8,0,N,3.6
2013,3,40,432,3,11,300,81,10.5,1008.2,-17.8,0,NW,4.9
2013,3,20,161,3,11,300,81,11.1,1009.7,-18.3,0,NNW,4
2013,3,18,119,3,13,300,81,9.7,1011.7,-18.4,0,N,1.8
2013,3,17,85,3,11,300,81,8.1,1014.7,-18.7,0,N,3.7
2013,3,13,76,3,16,300,81,7,1016.7,-18.8,0,NNW,1.9
2013,3,15,52,5,18,400,81,6,1018.7,-18.8,0,N,2.2
2013,3,12,35,9,19,300,81,5.3,1019.6,-18.6,0,NNE,2.6
2013,3,16,21,6,18,400,81,4.6,1020.2,-18.4,0,N,1.8
2013,3,3,7,4,16,400,81,1.8,1020.4,-15.7,0,NE,0.5
2013,3,11,12,4,22,400,81,4.1,1020.1,-18.2,0,ENE,1.3
2013,3,3,6,6,26,500,81,2.6,1020.3,-18.8,0,NE,1.4
2013,3,3,9,9,40,600,81,-0.4,1020.3,-15.9,0,SSW,0.6
2013,3,3,7,12,38,700,81,-1.9,1020.7,-12.6,0,WSW,1.2
2013,3,16,22,11,60,1200,81,-1,1021.4,-13.6,0,WNW,1
2013,3,24,25,22,77,1200,81,-3.2,1021.6,-14.3,0,WNW,0.5
2013,3,32,36,26,78,1800,81,-2.6,1022.1,-13.8,0,WNW,1.5
2013,3,28,37,25,75,1800,81,3.2,1022.8,-15.5,0,SW,2
2013,3,18,28,33,68,1300,81,5.5,1023.1,-15.7,0,SW,4.3
2013,3,29,32,40,50,1000,81,6.7,1022.6,-16,0,SW,3.6
2013,3,30,54,28,37,1000,81,8.3,1021.7,-16.1,0,S,3.1
2013,3,32,42,24,26,800,81,9.6,1021.2,-15.1,0,SW,3.7
2013,3,30,43,26,24,600,81,10.2,1020.3,-15.4,0,SW,4.6
2013,3,22,34,22,21,500,81,10.7,1019.1,-14.9,0,SW,4.1
2013,3,22,27,16,18,400,79,11.2,1018.2,-14.5,0,SW,3
2013,3,37,64,18,19,500,85,11,1017.8,-14.7,0,SW,4
2013,3,39,53,22,23,500,85,10.5,1017.5,-13.6,0,SW,3.5
2013,3,46,67,25,29,500,85,9.2,1017.4,-13.3,0,SSW,1.4
2013,3,51,72,26,34,600,85,8.2,1017.7,-12.9,0,SW,1.3
2013,3,66,86,30,54,900,85,6.7,1018,-11.5,0,SSW,1.7
2013,3,69,100,31,66,1000,85,5.9,1018.3,-10.8,0,S,1.2
2013,3,66,87,27,60,900,85,4.8,1018.4,-10.5,0,SSW,0.9
2013,3,78,103,36,58,1100,85,4.4,1017.8,-10.1,0,SSE,0.9
2013,3,87,110,41,61,1200,85,3.3,1017.9,-10,0,S,1.3
2013,3,98,118,55,61,1200,85,2,1017.9,-9.6,0,S,1
2013,3,104,124,72,63,1200,85,1.1,1017.3,-9,0,W,0.8
2013,3,110,117,78,67,1300,85,0.4,1016.6,-8.8,0,SSE,0.8
2013,3,114,122,89,64,1300,85,-1.1,1016.3,-8.5,0,E,0.7
2013,3,111,113,70,67,1300,85,-1.9,1016.1,-8,0,SE,0.2
2013,3,112,115,86,63,1300,85,-2.5,1016.2,-7.8,0,WNW,1.1
2013,3,97,110,91,65,1399,85,-2.1,1016.2,-7.2,0,W,0.7
2013,3,89,93,59,73,1800,85,-0.2,1016.4,-7,0,WSW,0.5
2013,3,98,104,60,77,1700,85,3.8,1016.4,-7.7,0,E,0.2
2013,3,103,103,78,71,1500,85,5.9,1015.9,-7.4,0,SSW,1.2
2013,3,92,118,111,70,1500,85,7.3,1015,-8.3,0,ENE,0.7
2013,3,105,124,110,70,1600,85,9.1,1013.9,-9,0,SSW,1.1
2013,3,136,148,122,78,1600,85,10.4,1012.5,-8.3,0,SE,1.9
2013,3,132,139,116,70,1399,85,11,1011.3,-7.8,0,SW,2.5
2013,3,118,124,98,56,1200,85,10.7,1010.1,-7.1,0,SW,2.8
2013,3,106,113,95,56,1100,80,11.1,1009.3,-6.8,0,SW,1.8
2013,3,123,154,118,67,1600,74,10.5,1008.5,-6.4,0,SW,2.7
2013,3,144,203,159,80,2299,74,9.6,1008.8,-5.9,0,WSW,2
2013,3,145,229,106,79,1800,51,9.5,1009,-6.4,0,SE,0.9
2013,3,156,164,113,98,2200,47,9.4,1009.2,-6.1,0,S,1
2013,3,188,237,177,111,2899,47,9.3,1009.5,-5.8,0,S,0.9
2013,3,191,250,153,110,2899,47,8.8,1009,-4.1,0,SSW,1.2
2013,3,131,251,77,91,1600,47,8.7,1008.5,-5.6,0,S,1.6
2013,3,82,92,53,78,1300,47,7.2,1007.3,-5.5,0,ESE,0.1
2013,3,101,107,60,72,1399,47,5.5,1006.5,-5.2,0,SSE,0.9
2013,3,122,129,64,80,1700,47,7.3,1006.1,-5.4,0,S,1.3
2013,3,105,130,71,77,1800,47,7.1,1005,-5,0,SSE,1
2013,3,106,109,64,72,1600,47,6.8,1004.8,-4.3,0,ENE,1
2013,3,90,102,63,70,1399,47,4.7,1005.6,0.1,1.4,NE,1.3
2013,3,103,194,40,66,1399,47,3.7,1005.3,1.7,1.2,ENE,0.6
2013,3,98,118,18,78,2100,47,3.2,1005.9,2.2,1.5,WSW,0.8
2013,3,125,119,16,74,2000,47,2.8,1005.8,1.9,2,N,0
2013,3,120,84,13,72,1899,47,3.4,1005.7,2.5,0.2,NE,1.7
2013,3,120,88,13,73,2100,47,4,1005.9,2.5,0,E,0.9
2013,3,130,91,14,75,2100,47,4.4,1005.9,2.7,0.3,ESE,0.4
2013,3,137,91,17,74,1899,47,4.6,1005.7,2.9,0,SW,0.7
2013,3,136,97,19,70,1800,47,5.3,1005.8,3.3,0,WSW,0.5
2013,3,152,95,24,72,1899,47,5.5,1005.7,3,0,NE,2.4
2013,3,133,79,25,69,1700,44,6.2,1006.2,3.2,0,NE,2.8
2013,3,124,89,23,65,1700,32,6.4,1006.9,3.5,0,NNE,1.5
2013,3,136,97,24,67,1800,22,7.2,1007.2,3.8,0,W,1.6
2013,3,135,75,33,71,1800,22,6.9,1008.2,3.5,0,E,1.4
2013,3,137,106,33,77,1700,4,4.8,1010.2,2.8,0,SSW,0.4
2013,3,134,90,30,80,1700,4,4.3,1011.6,2.5,0,WNW,0.8
2013,3,126,95,25,77,1700,4,5.3,1013.5,3.1,0,N,0.5
2013,3,141,99,19,76,2100,4,4.4,1014.7,2.3,0,E,1
2013,3,147,102,17,76,2700,4,5.1,1015.8,-0.3,0,ENE,1
2013,3,111,28,20,67,1700,4,5,1016.6,-6,0,ENE,1.4
2013,3,27,27,32,30,700,26,4.8,1017.3,-8,0,NE,1.9
2013,3,10,10,18,19,500,48,4.2,1017.7,-9.6,0,N,4
2013,3,9,9,18,16,500,54,3.4,1018.1,-9.6,0,NE,2.8
2013,3,9,9,6,19,NA,54,2.9,1018.7,-9.4,0,NNE,2.4
2013,3,12,12,4,19,400,54,2.3,1019.7,-9.9,0,NNE,2
2013,3,11,11,10,32,500,54,1.6,1020.3,-10.3,0,NE,1.3
2013,3,12,12,18,36,600,54,1.6,1021.3,-9.1,0,NE,0.9
2013,3,11,11,25,51,700,54,3.9,1022.7,-10.2,0,NE,1.5
2013,3,3,7,23,54,700,54,4.8,1023.8,-11.3,0,NW,2.5
2013,3,18,8,22,43,600,54,5.1,1024.4,-11.5,0,E,3.1
2013,3,16,16,13,26,500,54,6.1,1024.2,-12.5,0,ENE,2
2013,3,14,6,9,19,400,59,6.8,1023.5,-14.1,0,NE,3.1
2013,3,20,6,7,17,400,66,7.3,1022.8,-13.6,0,ENE,2.2
2013,3,20,6,7,16,400,70,7.9,1022.1,-13.7,0,SSE,1.7
2013,3,12,6,7,14,400,74,8.6,1021.5,-13.8,0,SSW,2.6
2013,3,15,6,7,15,400,75,9,1021,-13.4,0,WNW,1.1
2013,3,21,6,7,19,400,75,8.5,1021.2,-11.5,0,S,2.4
2013,3,26,28,9,34,600,75,6.8,1021.6,-10.9,0,SW,2.6
2013,3,34,36,13,44,700,75,5.7,1022.3,-9.7,0,S,2.1
2013,3,36,41,15,54,800,75,4.8,1022.9,-10.1,0,SSW,0.8
2013,3,31,32,14,56,900,75,4.3,1023.3,-9.8,0,SSW,1.2
2013,3,46,31,16,57,1100,75,3.9,1023.6,-8.5,0,SSW,1.5
2013,3,53,34,23,68,1200,75,3,1023.5,-7.2,0,SSE,1.5
2013,3,55,86,29,61,1200,75,2.8,1023.7,-4.4,0,SSW,1.8
2013,3,73,106,23,66,1500,75,1.5,1023.7,-4,0,SSW,1.9
2013,3,64,67,17,61,1700,75,0.9,1023.8,-4.3,0,SSW,1.1
2013,3,68,39,19,58,1800,75,0.8,1023.4,-5.2,0,S,1.4
2013,3,74,37,20,60,1500,75,0.8,1023,-5.7,0,SSE,0.8
2013,3,72,39,21,57,1300,75,1.2,1023,-5.5,0,ENE,1.3
2013,3,75,54,24,60,1600,75,1.3,1023.3,-5.6,0,E,1
2013,3,83,62,26,64,2000,75,1.1,1023.3,-4.4,0,NE,1.9
2013,3,76,53,27,62,1800,75,1.1,1023.8,-4.4,0,ENE,2.4
2013,3,60,64,29,59,1800,75,1.6,1023.9,-4.3,0,NNE,2.1
2013,3,63,66,34,60,1700,75,3,1023.5,-4.5,0,NNW,0.8
2013,3,68,88,44,63,1800,75,4.5,1022.4,-4.3,0,ENE,0.7
2013,3,77,92,51,68,1899,75,6,1021.5,-4.5,0,SW,2.1
2013,3,85,88,59,60,1500,75,7.7,1020.4,-5.1,0,SSW,2.7
2013,3,108,78,98,48,1100,75,8.7,1019.2,-5.9,0,SW,4.2
2013,3,102,81,113,43,1000,75,9.4,1018.3,-5.3,0,WSW,3.3
2013,3,75,84,111,45,1100,72,9.1,1017.7,-5.6,0,SW,2.6
2013,3,80,91,112,51,1200,59,8.5,1017.4,-4.7,0,S,2.5
2013,3,82,105,104,54,1399,50,7.6,1017.5,-3.6,0,SW,1.7
2013,3,90,108,86,61,1300,50,6.6,1017.6,-3.6,0,SSW,1.3
2013,3,95,100,79,75,1300,50,5.9,1017.7,-3.2,0,SSW,1.5
2013,3,95,106,78,94,1500,50,5.4,1017.6,-2.7,0,SE,1.3
2013,3,102,132,66,94,1700,50,5,1017.5,-2.1,0,S,1.3
2013,3,151,153,59,93,2200,50,4.1,1017.3,-2.3,0,W,0.5
2013,3,136,160,53,90,2299,50,1.3,1017.1,-1.9,0,W,0.6
2013,3,140,149,51,88,2100,50,0.4,1016.8,-1.5,0,WSW,1
2013,3,139,145,38,84,2100,50,0,1016.3,-1.6,0,WSW,0.5
2013,3,142,143,34,82,2399,50,0,1015.8,-1.8,0,NE,0.6
2013,3,144,146,54,91,2700,50,1.8,1015.3,-2.2,0,ESE,0.7
2013,3,151,169,65,97,2799,50,2.4,1015.3,-2.7,0,NE,1.7
2013,3,161,182,71,96,3200,50,2,1015.4,-2.9,0,ENE,0.8
2013,3,156,158,78,91,2600,50,-0.1,1015,-2.6,0,W,1
2013,3,140,149,63,86,2399,50,1.8,1015.5,-1.3,0,WSW,1
2013,3,135,143,78,80,2299,50,5.4,1015.5,-2,0,NNE,1.4
2013,3,134,159,96,83,2200,50,7,1014.9,-3,0,N,1.1
